order_id,date,region,product,units,unit_price,notes
1001,2026-01-03,West,Widget,4,9.99,
1002,2026-01-03,East,Gadget,2,19.50,gift wrap
1003,2026-01-04, West ,Widget,4,9.99,
1004,2026-01-04,East,Sprocket,,5.25,backorder
1005,2026-01-05,North,Gadget,1,19.50,
1006,2026-01-05,West,Widget,4,9.99,
1006,2026-01-05,West,Widget,4,9.99,
1007,2026-01-06,South,Sprocket,10,5.25,bulk
,,,,,,
1008,2026-01-07,East,Gadget,3,19.50,NA
1009,2026-01-07,North,Widget,7,9.99,
1010,2026-01-08,West,Sprocket,2,5.25,
